"Feature","Gain","Cover","Frequency"
"finishedsquarefeet12",0.14086820065306,0.0829434697257342,0.0662650602409639
"finishedsquarefeet12_log",0.0669711169485035,0.0419041839308043,0.0338855421686747
"taxamount",0.0665984945105553,0.0696991698501444,0.0481927710843374
"taxvaluedollarcnt_log",0.044724934392631,0.0221284080050706,0.0173192771084337
"calculatedfinishedsquarefeet_log",0.0447049754837081,0.0264134228552362,0.0203313253012048
"taxamount_log",0.0384031870159365,0.0454866609103813,0.0308734939759036
"taxvaluedollarcnt",0.0353217661958116,0.0291875094383274,0.0256024096385542
"calculatedfinishedsquarefeet",0.0329058227697473,0.0394378996657675,0.036144578313253
"structuretaxvaluedollarcnt_log",0.0315993886465151,0.0241403564017027,0.0233433734939759
"structuretaxvaluedollarcnt",0.0315142115054586,0.0345226359202713,0.0286144578313253
"yearbuilt",0.0278782478119362,0.0175229249169956,0.0233433734939759
"longitude_log",0.0253258998357085,0.0255962777385635,0.0286144578313253
"longitude",0.0240208736487784,0.0334461009512015,0.0316265060240964
"latitude",0.0229259612860545,0.0251026479572157,0.0301204819277108
"censustractandblock_1to12",0.0219049130687496,0.0186786389398084,0.0286144578313253
"lotsizesquarefeet_log",0.0215692265416453,0.0193669646023014,0.0256024096385542
"latitude_log",0.0169650614572172,0.0182560247198734,0.0240963855421687
"censustractandblock",0.0165181905054394,0.0226325661901757,0.036144578313253
"lotsizesquarefeet",0.0152086552825222,0.0200928332337001,0.0256024096385542
"landtaxvaluedollarcnt",0.0150486969748263,0.0284340122743906,0.0256024096385542
"yearbuilt_log",0.0143080885530455,0.0120529984837052,0.0158132530120482
"censustractandblock_1to8",0.013689055081608,0.0138790284589121,0.0218373493975904
"regionidzip",0.0133608435408609,0.0219969052860023,0.0218373493975904
"regionidcity",0.0126559548874542,0.0141156560388229,0.0203313253012048
"poolcnt",0.0119382399303697,0.0169205546890657,0.0112951807228916
"landtaxvaluedollarcnt_log",0.0109440605269609,0.0255592122998498,0.0233433734939759
"regionidneighborhood",0.0105820424729057,0.010074113367987,0.0158132530120482
"propertyzoningdesc_1to3",0.0101019294817536,0.0105899369334971,0.0143072289156626
"transactionDayofYear",0.00925129691094705,0.0233282594613455,0.0180722891566265
"poolcnt_log",0.00902649420784595,0.0139523407131531,0.00978915662650602
"taxdelinquencyyear",0.00861962298025057,0.00866758229670056,0.0052710843373494
"finishedsquarefeet15",0.00820157213371258,0.00900358163561686,0.00753012048192771
"propertyzoningdesc",0.00764338718758082,0.0132763398775208,0.0135542168674699
"finishedfloor1squarefeet_log",0.00693952597772707,0.00652547281344439,0.00451807228915663
"bedroomcnt",0.0067147989957084,0.00806350660379914,0.00828313253012048
"propertyzoningdesc_1to4",0.00659595580241707,0.0084231777965197,0.0135542168674699
"taxdelinquencyyear_log",0.00639867889930326,0.00735200935722685,0.00677710843373494
"transactionMonth",0.0060661362557936,0.0162880318404398,0.0128012048192771
"fullbathcnt",0.00515993842181483,0.00258330190161391,0.00225903614457831
"transactionDayofYear2",0.00480868932768153,0.014628114153456,0.0105421686746988
"rawcensustractandblock",0.00477230180020152,0.00440005414737587,0.00753012048192771
"propertycountylandusecode",0.00462392773257716,0.00559290182750122,0.00978915662650602
"censustractandblock_num",0.00410440075651543,0.00572062978409928,0.00978915662650602
"taxdelinquencyflag",0.00398731819905675,0.00493402386018262,0.00301204819277108
"bedroomcnt_log",0.00398062099018815,0.00878153009632898,0.00753012048192771
"propertylandusetypeid",0.00390625057714995,0.00270757344920308,0.0052710843373494
"pooltypeid7",0.00375224497788614,0.00236729907809158,0.0052710843373494
"finishedfloor1squarefeet",0.003564143138036,0.00330382674276861,0.00301204819277108
"calculatedbathnbr",0.00338994431449188,0.00407303692397608,0.00451807228915663
"bathroomcnt",0.00307198051013754,0.00220175527819238,0.00301204819277108
"finishedsquarefeet15_log",0.00288636674546955,0.00501406701617784,0.0052710843373494
"finishedsquarefeet50",0.00286311308193084,0.00423553362645956,0.00376506024096386
"propertycountylandusecode_1to2",0.00278194944869613,0.0024751754224215,0.00602409638554217
"roomcnt_log",0.00261040427403381,0.00593097046391626,0.00301204819277108
"buildingqualitytypeid_log",0.00256682223384884,0.00223206707561898,0.0052710843373494
"garagetotalsqft_log",0.00252835545656774,0.00134745376467408,0.00602409638554217
"roomcnt",0.00230773473342026,0.00439928100325546,0.00225903614457831
"buildingqualitytypeid",0.00220091042298463,0.00136882892565007,0.0052710843373494
"garagetotalsqft",0.00210866156511515,0.00328906878588199,0.0052710843373494
"unitcnt",0.00187933395177168,0.0035452523641326,0.00301204819277108
"threequarterbathnbr_log",0.00168200594472249,0.00149512429167208,0.00150602409638554
"unitcnt_log",0.00155229652927911,0.000193718081228204,0.000753012048192771
"finishedsquarefeet50_log",0.00127597404205981,0.0059262861201279,0.00301204819277108
"heatingorsystemtypeid",0.00106746632453855,0.00157466717794233,0.00225903614457831
"calculatedbathnbr_log",0.00102817639862716,0.000702583349654633,0.00301204819277108
"fullbathcnt_log",0.000997362516519975,0.00167494851826588,0.00376506024096386
"numberofstories_log",0.000968971192824293,0.000313464461759689,0.00150602409638554
"buildingclasstypeid",0.000910104645936466,0.00148143509283426,0.000753012048192771
"bathroomcnt_log",0.000790469631489995,0.000749654182867731,0.00376506024096386
"hashottuborspa",0.000522953740532836,0.000953991625985074,0.00225903614457831
"yardbuildingsqft17",0.000444164896496725,0.0012113349204163,0.00150602409638554
"finishedsquarefeet6",0.000393279411373454,0.00296182416715267,0.00150602409638554
"censustractandblock_1to4",0.000213954329189166,0.000274670818541551,0.00150602409638554
"airconditioningtypeid",0.000204504830165051,0.000173116064372616,0.000753012048192771
"threequarterbathnbr",7.73945456201158e-05,0.000120019254926923,0.000753012048192771
"transactionDayofYear3",0.00000003,0.00000000056,0.00000000006988
"transactionMonth2",0.00000003,0.00000000056,0.00000000006988
"transactionMonth3",0.00000003,0.00000000056,0.00000000006988
"propertyzoningdesc_5to10",0.00000003,0.00000000056,0.00000000006988
"censustractandblock_5to11",0.00000003,0.00000000056,0.00000000006988
"censustractandblock_12to12",0.00000003,0.00000000056,0.00000000006988
"transactionYear",0.00000003,0.00000000056,0.00000000006988
"numberofstories",0.00000003,0.00000000056,0.00000000006988
"yardbuildingsqft17_log",0.00000003,0.00000000056,0.00000000006988
"finishedsquarefeet6_log",0.00000003,0.00000000056,0.00000000006988
