"","Feature","Gain","Cover","Frequency"
"1","taxvaluedollarcnt_bytax",0.121474205189769,0.162021028882837,0.0790784557907846
"2","finishedsquarefeet12",0.065172311207455,0.0907060870631125,0.0591531755915318
"3","structuretaxvaluedollarcnt_bytax",0.0566099801837484,0.0740236663715382,0.0361145703611457
"4","taxamount",0.0554531380925539,0.0492092477096927,0.0417185554171856
"5","calculatedfinishedsquarefeet_bytax",0.0495497000035118,0.0631291809433317,0.0361145703611457
"6","yearbuilt_log",0.0477966811411143,0.029123635060619,0.0466998754669988
"7","poolcnt_byft",0.0391603807630178,0.0339489454898791,0.037359900373599
"8","structuretaxvaluedollarcnt_log",0.0387266420514022,0.0571015527235049,0.037359900373599
"9","lotsizesquarefeet_log",0.0264747225944231,0.0130342490918474,0.0330012453300125
"10","structuretaxvaluedollarcnt_byft",0.0261384787067493,0.0527049118657213,0.0305105853051059
"11","censustractandblock_log",0.0255991652902491,0.0127263369811764,0.0255292652552927
"12","yearbuilt",0.0250165000036504,0.0228250716622203,0.0292652552926526
"13","lotsizesquarefeet_bytax",0.0249997510252056,0.0176791551027883,0.0280199252801993
"14","calculatedfinishedsquarefeet_log",0.0242498110222714,0.0442999476737582,0.026774595267746
"15","taxamount_byft",0.0242465049985214,0.0274750851492427,0.0168119551681196
"16","regionidzip",0.0224764765166553,0.0171856116245917,0.0255292652552927
"17","latitude",0.0206446721165366,0.00894041286865337,0.0205479452054795
"18","lotsizesquarefeet_byft",0.019258923255147,0.00952878813959228,0.0255292652552927
"19","landtaxvaluedollarcnt_byft",0.0152570497518942,0.018881293683668,0.0180572851805729
"20","longitude_log",0.0146885691835274,0.00361675016792694,0.0193026151930262
"21","regionidneighborhood",0.0145466915236831,0.00211303155198606,0.0130759651307597
"22","propertyzoningdesc",0.0140068780816104,0.00335949466213493,0.0211706102117061
"23","taxvaluedollarcnt_byft",0.01335200686902,0.0193781226727942,0.0149439601494396
"24","regionidcity_log",0.0127581108507611,0.00989040341982262,0.0193026151930262
"25","poolcnt_bytax",0.0126744016446175,0.0136684423061145,0.0174346201743462
"26","landtaxvaluedollarcnt_bytax",0.0125890586996787,0.00294871619108448,0.0087173100871731
"27","propertycountylandusecode",0.0125335925347774,0.0141152419242664,0.0174346201743462
"28","finishedsquarefeet12_log",0.0123573297082697,0.015773200344214,0.0105853051058531
"29","censustractandblock_1to12_log",0.00865960880344194,0.00370265134459684,0.0105853051058531
"30","regionidcity",0.00772468160228785,0.0073150407434717,0.012453300124533
"31","regionidneighborhood_log",0.00754787498217025,0.00243369741872042,0.0087173100871731
"32","censustractandblock",0.00751216578806582,0.00348828669057742,0.00809464508094645
"33","taxvaluedollarcnt_log",0.00716835209946976,0.00691827049629405,0.0074719800747198
"34","taxdelinquencyyear_log",0.00688521513705151,0.0129592199695266,0.0099626400996264
"35","calculatedbathnbr_log",0.00681359151059275,0.00737340336489485,0.0074719800747198
"36","propertyzoningdesc_1to3",0.0066822782454968,0.00193713724412478,0.0112079701120797
"37","garagetotalsqft_log",0.0064388293026856,0.00220215850302325,0.00933997509339975
"38","calculatedfinishedsquarefeet",0.00598560492431608,0.0075248056821896,0.0062266500622665
"39","taxamount_log",0.0058116138743214,0.00719939075874783,0.0037359900373599
"40","censustractandblock_1to8",0.00572050289398687,0.00478337536248519,0.00684931506849315
"41","finishedsquarefeet15",0.00478603124844099,0.00176793343124753,0.00809464508094645
"42","structuretaxvaluedollarcnt",0.00476363731629995,0.00216279210842975,0.00435865504358655
"43","lotsizesquarefeet",0.00464321185475887,0.00403702675239222,0.00684931506849315
"44","landtaxvaluedollarcnt",0.00460632849353452,0.00484131982797184,0.0074719800747198
"45","rawcensustractandblock",0.00440702968468503,0.00340151933375334,0.00684931506849315
"46","censustractandblock_1to12",0.00417856421898908,0.000901424725972708,0.0062266500622665
"47","propertyzoningdesc_1to4",0.00347966210256763,0.000700978690982554,0.00560398505603985
"48","latitude_log",0.00343223188644903,0.00116026325066719,0.0049813200498132
"49","propertyzoningdesc_5to10",0.0033597273359242,0.000799125862935712,0.0037359900373599
"50","bedroomcnt",0.00325151745937911,0.00642577240793871,0.00435865504358655
"51","roomcnt_log",0.00286324757107108,0.000224519869620174,0.00435865504358655
"52","propertylandusetypeid_log",0.00262125687397183,0.00078532671703116,0.0037359900373599
"53","bedroomcnt_log",0.00246691867076975,0.00638282181960377,0.00435865504358655
"54","buildingqualitytypeid_log",0.00213222115157672,0.000415049635259004,0.00311332503113325
"55","longitude",0.00195828958688473,0.000644079615337159,0.00311332503113325
"56","bathroomcnt",0.00188764881913805,0.00140425723961587,0.00311332503113325
"57","landtaxvaluedollarcnt_log",0.00175991486707932,0.000879292329619302,0.0024906600249066
"58","hashottuborspa",0.00147486477157606,0.00297876368195024,0.00311332503113325
"59","finishedsquarefeet6",0.0013771545121371,0.000194263300786166,0.0024906600249066
"60","finishedsquarefeet15_log",0.00136888624166128,0.000279387902145418,0.00186799501867995
"61","fullbathcnt_log",0.00119085743187971,0.000132704773276897,0.00186799501867995
"62","propertylandusetypeid",0.00107038247187565,0.000534761706223173,0.00186799501867995
"63","taxdelinquencyyear",0.00100223275438201,7.22215038900599e-05,0.0012453300124533
"64","taxvaluedollarcnt",0.000887841761130924,2.71203993102458e-05,0.0012453300124533
"65","calculatedbathnbr",0.000791879548581824,2.03402994826844e-05,0.00062266500622665
"66","airconditioningtypeid",0.000631359332599236,2.70606627478884e-05,0.00062266500622665
"67","garagetotalsqft",0.00055681051832498,0.000163648312578014,0.0012453300124533
"68","heatingorsystemtypeid",0.000457042959037378,8.79620880712268e-05,0.00062266500622665
"69","airconditioningtypeid_log",0.000455046815141518,2.68515847796376e-05,0.00062266500622665
"70","yardbuildingsqft17",0.000439473071965219,1.06629763807905e-05,0.00062266500622665
"71","fullbathcnt",0.000338087177833891,6.01547182938712e-05,0.00062266500622665
"72","unitcnt_log",0.000333662476184496,0.000819257084450146,0.00062266500622665
"73","buildingqualitytypeid",0.000264926840460351,0.000386286480483931,0.00062266500622665
